DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-
2019-10-23,31-073,SAS,HOME,NYK,W (+9),0,16:08,3,11,.273,2,6,.333,0,0,,1,1,2,2,2,0,2,2,8,3.1,+8
2019-10-26,31-076,SAS,HOME,WAS,W (+2),0,19:00,2,5,.400,2,4,.500,0,0,,0,0,0,2,0,0,0,2,6,3.9,-7
2019-10-28,31-078,SAS,HOME,POR,W (+3),0,22:05,4,8,.500,3,6,.500,1,2,.500,0,2,2,3,1,0,1,1,12,9.9,+13
2019-10-31,31-081,SAS,AWAY,LAC,L (-6),0,22:11,2,4,.500,1,2,.500,1,2,.500,0,1,1,1,1,0,2,4,6,2.0,+10
2019-11-01,31-082,SAS,AWAY,GSW,W (+17),0,22:01,10,16,.625,6,9,.667,5,5,1.000,1,2,3,2,1,0,2,3,31,24.3,+22
2019-11-03,31-084,SAS,HOME,LAL,L (-7),0,20:17,1,6,.167,0,4,.000,2,2,1.000,0,1,1,2,1,0,3,4,4,-1.7,0
2019-11-05,31-086,SAS,AWAY,ATL,L (-8),0,26:10,5,6,.833,3,4,.750,3,3,1.000,0,2,2,0,2,0,0,1,16,16.0,+6
2019-11-07,31-088,SAS,HOME,OKC,W (+9),0,22:31,4,8,.500,2,3,.667,0,0,,0,2,2,1,1,0,0,1,10,7.9,+6
2019-11-09,31-090,SAS,HOME,BOS,L (-20),0,18:05,7,12,.583,3,6,.500,3,4,.750,1,0,1,2,0,0,1,0,20,15.1,-17
2019-11-11,31-092,SAS,HOME,MEM,L (-4),0,20:08,4,7,.571,0,3,.000,1,2,.500,0,2,2,2,0,0,2,1,9,4.9,-2
